checked,result_type,id,citation_id,site_id,treatment_id,sitename,city,lat,lon,scientificname,commonname,genus,species_id,cultivar_id,author,citation_year,treatment,date,time,raw_date,month,year,dateloc,trait,trait_description,mean,units,n,statname,stat,notes,access_level,cultivar,entity,method_name
1,traits,3761,188,273,662,,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,938,3,Burner,2009,observational,Unrecognized Value for Date Level of Confidence,Time Level of Confidence Unknown,2004-08-30T19:00:00.000-05:00,NA,NA,6.5,leaf_ash,ash concentration in leaf,3.38,percent,4,SE,0.24,,4,Alamo,NA,NA
1,traits,4121,159,368,1,SoyFACE,Urbana,40.0415,-88.2373,Panicum virgatum,switchgrass,Panicum,938,10,Dohlman,2009,observational,Season: [UNRECOGNIZED SEASON MONTH] 2004,Time Level of Confidence Unknown,2004-02-29T18:00:00.000-06:00,NA,2004,7.0,SLA,Specific Leaf Area,11.7,m2 kg-1,4,SE,0.12,"pairwise sp comparison SE = (15.3-11.7)/(qt(1-0.0001/2,4)*2)",4,Cave-In-Rock,NA,NA
1,traits,4119,159,368,1,SoyFACE,Urbana,40.0415,-88.2373,Panicum virgatum,switchgrass,Panicum,938,10,Dohlman,2009,observational,Season: [UNRECOGNIZED SEASON MONTH] 2004,Time Level of Confidence Unknown,2004-02-29T18:00:00.000-06:00,NA,2004,7.0,stomatal_conductance,,6.88304594766221,kg m-2 s-1,4,SE,0.055508435061792,"pairwise sp comparison SE = (155-124)/(qt(1-0.0001/2,4)*2)",4,Cave-In-Rock,NA,NA
1,traits,22116,18,76,743,EBI Energy farm,Urbana,40.0637,-88.202,Panicum virgatum,switchgrass,Panicum,938,10,Heaton,2008,observational - PAVI2,"Week of Apr 9, 2005",Time Level of Confidence Unknown,2005-04-09T19:00:00.000-05:00,4,2005,5.5,LAI,Leaf Area Index,0.028,m2 m-2,18,SE,0.275,,4,Cave-In-Rock,NA,NA
1,traits,22117,18,76,743,EBI Energy farm,Urbana,40.0637,-88.202,Panicum virgatum,switchgrass,Panicum,938,10,Heaton,2008,observational - PAVI2,"Week of Apr 30, 2005",Time Level of Confidence Unknown,2005-04-30T19:00:00.000-05:00,4,2005,5.5,LAI,Leaf Area Index,0.2,m2 m-2,18,SE,0.275,,4,Cave-In-Rock,NA,NA
1,traits,22118,18,76,743,EBI Energy farm,Urbana,40.0637,-88.202,Panicum virgatum,switchgrass,Panicum,938,10,Heaton,2008,observational - PAVI2,"Week of May 13, 2005",Time Level of Confidence Unknown,2005-05-13T19:00:00.000-05:00,5,2005,5.5,LAI,Leaf Area Index,1.11,m2 m-2,18,SE,0.275,,4,Cave-In-Rock,NA,NA
1,traits,22120,18,76,743,EBI Energy farm,Urbana,40.0637,-88.202,Panicum virgatum,switchgrass,Panicum,938,10,Heaton,2008,observational - PAVI2,"Week of May 21, 2005",Time Level of Confidence Unknown,2005-05-21T19:00:00.000-05:00,5,2005,5.5,LAI,Leaf Area Index,3.03,m2 m-2,18,SE,0.248,,4,Cave-In-Rock,NA,NA
1,traits,22121,18,76,743,EBI Energy farm,Urbana,40.0637,-88.202,Panicum virgatum,switchgrass,Panicum,938,10,Heaton,2008,observational - PAVI2,"Week of May 26, 2005",Time Level of Confidence Unknown,2005-05-26T19:00:00.000-05:00,5,2005,5.5,LAI,Leaf Area Index,2.6,m2 m-2,18,SE,0.275,,4,Cave-In-Rock,NA,NA
1,traits,22122,18,76,743,EBI Energy farm,Urbana,40.0637,-88.202,Panicum virgatum,switchgrass,Panicum,938,10,Heaton,2008,observational - PAVI2,"Week of May 26, 2005",Time Level of Confidence Unknown,2005-05-26T19:00:00.000-05:00,5,2005,5.5,LAI,Leaf Area Index,3.23,m2 m-2,18,SE,0.248,,4,Cave-In-Rock,NA,NA
1,traits,22123,18,76,743,EBI Energy farm,Urbana,40.0637,-88.202,Panicum virgatum,switchgrass,Panicum,938,10,Heaton,2008,observational - PAVI2,"Week of Jun 5, 2005",Time Level of Confidence Unknown,2005-06-05T19:00:00.000-05:00,6,2005,5.5,LAI,Leaf Area Index,3.504,m2 m-2,18,SE,0.275,,4,Cave-In-Rock,NA,NA
